mobile_id,battery_power,bluetooth,clock_speed,dual_sim,front_cam,four_g,int_memory,mobile_depth,mobile_wt,n_cores,primary_cam,px_height,px_width,ram,screen_ht,screen_wid,talk_time,three_g,touch_screen,wifi,price_class
100034,1600,No,1.2,Yes,6,Yes,Low,1.0,193,2,8,791,999,894,11,0,15,Yes,Yes,No,0
100035,1178,Yes,1.4,Yes,11,No,High,0.2,10,11,15,1332,1413,1746,23,8,20,Yes,Yes,Yes,1
100036,1868,No,2.0,Yes,,Yes,Medium,0.2,169,1,4,,660,3131,8,3,7,Yes,Yes,Yes,0
100037,641,Yes,1.1,No,0,Yes,Low,0.9,192,1,3,417,759,3595,7,5,19,Yes,Yes,Yes,0
100038,1467,No,2.0,Yes,15,No,High,0.5,63,2,29,347,1578,2296,18,1,11,Yes,Yes,Yes,0
100039,1648,Yes,1.1,Yes,4,Yes,Low,0.7,111,1,4,282,1060,843,10,1,10,Yes,No,No,0
100040,974,Yes,2.2,Yes,1,Yes,Medium,0.6,129,8,21,69,1979,1994,11,9,15,Yes,Yes,No,0
100041,1550,Yes,3.5,No,10,Yes,Medium,1.4,253,2,34,905,1853,2610,11,0,17,Yes,No,No,1
100042,1533,Yes,1.1,Yes,18,Yes,Low,0.3,160,4,20,1054,1393,2520,8,2,11,Yes,No,Yes,0
100043,604,No,0.3,No,3,No,Medium,0.3,91,4,4,926,1950,1848,11,11,15,Yes,Yes,Yes,0
100044,1312,Yes,3.9,No,0,Yes,High,0.5,91,1,3,834,1842,3327,9,2,21,Yes,Yes,No,1
100045,2009,Yes,4.7,Yes,12,Yes,Medium,0.8,149,8,14,818,1268,1249,2,14,1,Yes,Yes,Yes,0
100046,1719,Yes,0.1,No,1,Yes,Medium,0.5,193,0,4,257,1215,1038,2,2,13,Yes,No,Yes,0
100047,1686,No,2.6,Yes,6,Yes,Medium,0.6,123,7,5,418,1457,3778,19,7,11,Yes,Yes,Yes,0
100048,1503,No,0.0,No,5,Yes,Medium,0.0,139,3,6,353,732,948,20,16,22,Yes,Yes,Yes,0
100049,1396,Yes,0.6,No,0,No,Medium,0.7,134,4,15,560,1177,2694,18,3,19,No,No,Yes,1
100050,919,No,1.4,Yes,2,No,Low,0.7,204,4,3,1561,1709,2949,16,2,10,No,Yes,No,0
100051,880,No,1.7,No,2,No,Low,0.6,198,4,19,632,660,3006,6,4,3,Yes,No,No,0
100052,1702,Yes,2.3,Yes,12,Yes,Medium,0.6,107,2,19,1284,1643,595,10,0,19,Yes,No,Yes,0
100053,1706,Yes,4.4,No,4,No,Low,1.4,100,3,15,479,703,2932,5,0,3,Yes,Yes,Yes,1
100054,1632,Yes,1.4,No,0,No,Medium,0.1,132,4,1,706,1623,2614,5,4,15,Yes,No,No,1
100055,1878,Yes,3.4,Yes,6,Yes,Low,0.1,127,9,7,1150,1774,3322,18,17,16,Yes,Yes,No,0
100056,1271,No,0.5,Yes,2,No,Medium,0.1,159,8,3,613,650,990,14,11,6,No,Yes,Yes,0
100057,723,Yes,1.3,No,5,Yes,Medium,0.4,162,8,7,1665,1838,3887,12,2,5,Yes,No,Yes,0
100058,643,Yes,0.5,Yes,0,No,Medium,1.0,86,4,13,565,1116,682,17,8,13,No,No,No,0
100059,505,No,3.0,Yes,2,No,Medium,0.4,173,1,8,515,1125,590,2,6,16,Yes,No,Yes,0
100060,493,No,1.8,No,5,Yes,Medium,0.9,157,0,6,919,1006,2963,13,10,17,Yes,No,No,0
100061,1525,Yes,0.5,Yes,4,No,Medium,0.2,123,1,5,955,1210,1360,14,5,17,Yes,No,Yes,0
100062,1062,Yes,0.4,Yes,4,Yes,Low,0.9,136,1,29,576,602,941,17,15,17,Yes,Yes,Yes,0
100063,718,Yes,1.6,Yes,1,Yes,Medium,0.4,93,3,12,662,997,1601,10,9,12,Yes,Yes,Yes,0
100064,1755,Yes,0.1,Yes,1,Yes,Low,0.1,79,7,4,659,1257,2590,23,1,3,Yes,No,No,0
100065,846,Yes,0.4,No,0,Yes,Medium,0.4,75,0,21,639,1785,1235,11,4,10,Yes,No,Yes,0
100066,1830,Yes,0.5,No,5,No,Low,0.8,160,6,6,773,1353,1905,16,3,19,Yes,Yes,Yes,0
100067,1073,No,1.9,Yes,11,No,Low,0.2,150,1,15,971,1013,960,4,1,13,No,No,Yes,0
100068,1063,Yes,2.5,No,0,Yes,Medium,0.9,95,6,10,295,935,961,16,6,5,Yes,Yes,No,0
100069,1463,No,3.4,No,2,No,Low,0.6,128,5,37,730,1502,201,3,5,4,Yes,No,Yes,0
100070,1194,Yes,0.5,Yes,6,Yes,Medium,0.1,207,3,17,422,582,760,23,6,33,Yes,Yes,Yes,0
100071,1973,Yes,0.5,Yes,3,No,Medium,0.8,95,8,7,127,507,1724,12,10,8,No,No,Yes,0
100072,713,Yes,1.6,No,7,Yes,Low,0.4,181,8,9,1211,1378,485,10,6,4,Yes,Yes,Yes,0
100073,1310,No,2.3,Yes,3,No,Low,0.2,150,5,11,954,970,2518,18,17,5,No,Yes,Yes,0
100074,852,Yes,1.0,Yes,7,No,Low,0.6,155,8,10,1365,1355,595,12,1,1,Yes,No,Yes,0
100075,818,No,0.5,Yes,2,Yes,Medium,0.2,192,5,17,586,1552,2518,19,12,3,Yes,Yes,No,0
100076,1789,No,1.3,No,2,No,Medium,0.2,230,2,10,397,509,2331,25,10,9,Yes,Yes,Yes,1
100077,539,Yes,2.5,Yes,1,Yes,Low,0.7,140,2,2,1307,1903,3326,13,11,21,Yes,No,No,0
100078,1802,No,2.7,Yes,0,Yes,Low,0.6,101,7,9,253,590,696,14,7,3,Yes,Yes,No,0
100079,1788,Yes,0.5,Yes,15,Yes,Low,0.3,150,6,20,472,1073,2655,12,2,4,Yes,No,Yes,0
100080,553,Yes,0.5,Yes,5,Yes,Medium,0.2,122,7,5,317,479,1723,9,6,2,Yes,Yes,No,0
100081,990,Yes,2.7,Yes,3,No,Low,0.9,153,2,7,1466,1717,2698,11,8,6,Yes,No,No,0
100082,797,No,2.5,No,5,No,Low,0.4,89,9,6,236,619,1390,10,6,20,Yes,Yes,Yes,0
100083,1113,Yes,0.1,Yes,4,Yes,Low,0.8,68,9,2,156,1021,522,11,3,35,Yes,Yes,No,0
100084,1507,Yes,0.6,Yes,5,Yes,High,0.2,155,9,10,1508,1563,3481,18,14,9,Yes,Yes,Yes,1
100085,1995,No,2.5,Yes,0,Yes,Medium,0.8,82,0,13,393,629,689,6,5,11,Yes,Yes,No,0
100086,881,No,0.7,Yes,9,Yes,Medium,0.2,153,6,16,246,888,757,19,11,8,Yes,No,Yes,0
100087,698,Yes,0.4,No,7,No,Low,0.5,167,3,11,973,1235,1745,5,2,19,Yes,Yes,Yes,0
100088,1883,Yes,0.5,No,3,Yes,Low,0.3,146,6,13,836,1739,2600,16,8,20,Yes,No,No,0
100089,745,No,2.3,No,10,No,High,0.9,123,4,13,243,797,1794,3,5,18,Yes,No,Yes,0
100090,1164,No,3.3,No,1,Yes,Medium,0.2,103,4,5,637,1868,2207,16,4,1,Yes,Yes,Yes,1
100091,1667,No,1.0,Yes,0,Yes,Medium,0.9,138,2,0,1211,1396,635,17,7,15,Yes,No,No,0
100092,1375,No,2.6,Yes,18,No,Medium,0.8,148,0,23,1644,1900,1210,9,4,4,No,Yes,Yes,0
100093,1088,Yes,1.2,Yes,1,Yes,Medium,1.0,95,0,4,1440,1532,193,17,6,10,Yes,Yes,No,0
100094,785,Yes,0.1,Yes,0,Yes,Medium,0.1,172,4,20,706,1291,838,20,0,6,Yes,Yes,Yes,0
100095,1193,Yes,4.0,Yes,5,Yes,Medium,1.2,179,8,17,994,1771,1656,9,0,9,Yes,No,No,1
100096,558,Yes,0.3,Yes,2,Yes,Medium,0.9,146,5,6,1267,1710,2588,11,1,9,Yes,Yes,No,0
100097,1391,Yes,0.3,Yes,2,Yes,High,0.4,81,6,2,476,897,1126,18,9,2,Yes,Yes,Yes,0
100098,1332,No,1.3,Yes,5,Yes,Low,0.8,168,7,19,846,855,2790,19,11,10,Yes,Yes,No,0
100099,941,No,0.8,Yes,10,Yes,Medium,0.3,207,7,8,833,1649,3590,3,3,10,Yes,Yes,Yes,1
100100,1320,Yes,0.8,Yes,1,Yes,Medium,0.2,185,1,12,482,928,3544,16,14,2,Yes,Yes,No,1
100101,1504,No,2.3,Yes,1,No,High,0.9,182,1,2,19,1923,3059,6,5,10,No,Yes,No,0
100102,1396,No,2.4,Yes,0,No,Medium,0.1,138,7,1,1191,1347,2389,7,3,15,No,No,Yes,1
100103,956,No,1.9,Yes,1,No,Medium,0.1,133,7,11,403,1614,3700,10,0,7,Yes,Yes,No,0
100104,608,Yes,2.6,No,19,Yes,Medium,0.4,149,0,23,741,1430,3850,15,2,1,Yes,Yes,Yes,0
100105,1762,Yes,2.5,No,10,Yes,Low,0.3,107,8,11,1103,1364,2183,8,3,11,Yes,Yes,No,0
100106,696,No,1.4,Yes,4,No,Medium,0.8,90,1,19,132,1490,1467,20,20,14,Yes,No,Yes,0
100107,1640,No,0.5,Yes,1,Yes,Medium,0.9,87,8,11,664,1806,3235,6,1,10,Yes,No,Yes,1
100108,644,No,2.8,No,6,Yes,Low,0.5,104,3,7,1053,1925,2047,15,5,2,Yes,No,Yes,0
100109,1476,Yes,1.2,Yes,0,Yes,Medium,0.1,171,4,5,1641,1666,1529,13,8,3,Yes,No,Yes,1
100110,1862,Yes,2.9,No,6,No,Low,0.1,129,1,8,1263,1449,2880,9,7,16,No,Yes,No,0
100111,1978,Yes,2.3,No,3,No,Medium,0.5,84,7,2,757,729,1954,22,17,10,Yes,Yes,No,1
100112,587,No,0.1,No,5,No,Medium,0.2,179,8,0,1360,1335,1774,5,0,0,Yes,Yes,No,0
100113,1830,Yes,1.0,No,7,Yes,Medium,0.3,117,1,11,1191,1882,3362,13,10,11,Yes,No,No,1
100114,564,Yes,0.7,No,1,Yes,Low,0.1,69,8,7,1796,1751,3351,18,19,2,Yes,No,Yes,0
100115,1516,Yes,1.8,No,2,Yes,Low,1.0,132,1,3,280,422,1185,12,3,11,Yes,Yes,Yes,0
100116,981,Yes,1.9,Yes,0,No,Low,0.1,136,3,7,75,688,1539,19,12,19,No,No,No,0
100117,574,Yes,0.5,No,1,Yes,High,0.7,163,9,2,723,1881,342,18,12,7,Yes,Yes,Yes,0
100118,1109,No,3.3,Yes,10,Yes,Low,1.0,235,7,6,1366,1152,339,12,19,28,Yes,No,Yes,0
100119,570,Yes,2.8,No,22,Yes,Medium,0.2,184,6,23,967,1595,3458,18,22,0,Yes,No,Yes,0
100120,1806,Yes,3.3,Yes,11,Yes,Medium,0.1,184,6,16,688,1218,3598,17,15,5,Yes,Yes,Yes,1
100121,987,No,2.0,No,2,Yes,Low,0.3,158,5,6,1209,1680,2013,11,9,10,Yes,No,No,0
100122,1587,Yes,2.7,No,6,Yes,Medium,0.2,194,1,7,1759,1984,3408,20,12,25,Yes,Yes,No,1
100123,1552,Yes,2.2,No,,Yes,Low,0.2,123,6,9,,1026,2403,9,2,9,Yes,Yes,Yes,0
100124,1561,Yes,1.6,Yes,1,Yes,Medium,0.8,174,3,10,662,874,1205,12,7,3,Yes,Yes,No,0
100125,972,Yes,0.1,No,3,Yes,High,0.9,185,10,10,401,2048,3213,7,7,6,Yes,Yes,Yes,0
100126,1522,No,2.2,No,4,No,Medium,0.7,162,6,11,533,1696,3767,15,9,16,No,No,Yes,0
100127,1422,No,0.2,No,1,No,Medium,0.6,74,5,16,1089,1576,2511,17,1,16,Yes,Yes,Yes,1
100128,1892,Yes,1.5,Yes,9,Yes,Medium,0.8,238,5,4,649,1288,1545,15,2,10,Yes,Yes,Yes,0
100129,614,No,1.7,Yes,0,Yes,Medium,0.2,128,7,2,22,519,3487,15,6,11,Yes,Yes,Yes,0
100130,1433,No,0.6,No,8,No,Medium,0.9,151,5,9,670,1551,1817,6,1,16,Yes,No,No,1
100131,1015,Yes,1.6,No,1,Yes,Medium,1.1,209,0,0,46,1631,2182,13,14,4,Yes,No,No,0
100132,,Yes,2.6,,,No,,0.1,159,8,0,,1666,,15,9,10,Yes,No,Yes,1
100133,1189,Yes,1.9,No,5,No,Low,0.5,164,2,20,79,615,841,13,10,11,No,Yes,No,0
100134,,No,0.6,,,Yes,,0.2,157,7,8,,1937,,12,8,10,Yes,No,No,1
100135,858,Yes,2.4,Yes,10,No,Low,1.0,128,9,20,956,1204,3911,10,6,16,Yes,Yes,No,0
100136,456,Yes,0.5,Yes,25,No,Medium,0.4,175,3,34,1381,1625,2273,22,14,8,Yes,Yes,Yes,0
100137,480,No,2.1,No,10,No,Medium,0.3,169,10,16,248,697,3350,18,6,11,No,Yes,Yes,0
100138,931,No,0.9,Yes,20,No,Low,0.9,94,2,28,1695,1952,1439,20,2,16,Yes,No,No,0
100139,793,No,1.2,Yes,1,Yes,Medium,0.6,176,4,7,1226,1815,3139,6,1,12,Yes,Yes,Yes,0
100140,934,No,2.0,Yes,2,No,Medium,0.7,182,8,15,521,1190,703,10,8,7,No,No,Yes,0
100141,1980,No,0.9,Yes,5,No,Medium,0.6,210,7,23,45,1089,568,2,1,3,Yes,Yes,Yes,0
100142,1777,No,2.2,Yes,0,No,Low,0.2,100,4,7,553,874,1552,10,8,10,Yes,Yes,No,0
100143,939,Yes,0.7,Yes,2,Yes,Low,0.3,29,11,6,158,1643,3070,6,4,24,Yes,Yes,Yes,0
100144,1422,Yes,2.6,Yes,0,Yes,High,0.7,96,4,4,1,760,2217,8,5,13,Yes,Yes,No,0
100145,1068,No,2.7,Yes,0,Yes,Medium,0.6,194,5,1,935,1499,1754,17,7,9,Yes,No,Yes,1
100146,1277,No,3.0,No,0,Yes,Medium,0.3,200,4,3,902,1090,429,9,4,14,Yes,Yes,Yes,0
100147,966,No,2.0,No,8,Yes,Medium,0.5,118,2,10,214,1523,3534,18,17,11,Yes,Yes,Yes,0
100148,1603,Yes,0.5,Yes,1,Yes,Low,0.5,114,2,8,430,1207,1637,17,3,11,Yes,No,Yes,0
100149,830,No,2.7,Yes,4,Yes,Medium,1.3,119,4,1,1167,1577,2026,19,0,22,Yes,Yes,Yes,0
100150,468,No,3.7,No,21,Yes,Medium,0.0,83,3,31,593,1172,2293,10,10,8,Yes,No,Yes,0
100151,1727,No,2.1,No,2,Yes,High,0.6,85,7,8,1463,1992,2457,19,13,7,Yes,No,Yes,1
100152,1615,No,0.5,No,,No,Low,0.1,132,4,16,622,1256,3488,16,2,3,No,No,Yes,0
100153,1760,No,1.7,Yes,6,Yes,Low,0.5,142,3,6,859,1226,3973,16,12,2,Yes,No,Yes,0
100154,1379,Yes,2.9,Yes,15,No,Medium,1.0,73,5,21,477,1083,3947,5,4,2,No,No,Yes,1
100155,1627,No,0.9,Yes,9,Yes,Medium,0.1,180,6,16,52,1082,3206,12,6,16,Yes,Yes,No,0
100156,1802,Yes,1.6,Yes,0,Yes,High,1.6,55,4,2,59,1451,3062,9,2,31,Yes,No,Yes,0
100157,1958,No,0.2,Yes,1,Yes,High,0.1,49,9,2,1478,1908,1068,6,11,0,Yes,Yes,Yes,0
100158,1513,Yes,1.7,Yes,4,Yes,High,0.9,123,6,8,468,1829,1251,9,12,9,Yes,Yes,Yes,0
100159,1574,Yes,0.2,No,19,No,Medium,1.1,145,10,23,364,672,509,3,1,7,Yes,Yes,Yes,0
100160,1692,Yes,0.1,Yes,9,Yes,Low,0.1,107,2,17,587,1326,676,9,0,12,Yes,No,No,0
100161,641,No,1.0,No,9,Yes,Low,0.2,187,8,12,444,1080,2647,7,5,18,Yes,Yes,Yes,0
100162,596,Yes,0.3,Yes,3,Yes,Medium,0.8,164,1,10,303,1401,2083,14,6,1,Yes,No,No,0
100163,,No,0.5,,,Yes,,0.3,197,5,4,,1737,,19,6,12,Yes,No,No,1
100164,1569,No,0.9,Yes,0,Yes,Medium,0.1,105,6,4,812,1463,3260,5,0,7,Yes,Yes,Yes,1
100165,860,No,1.4,Yes,0,Yes,Low,0.7,134,6,1,68,1977,785,13,6,3,Yes,Yes,No,0
100166,633,Yes,2.2,No,0,Yes,Medium,0.1,139,8,1,529,1009,3560,11,1,16,Yes,Yes,Yes,0
100167,1616,No,2.2,Yes,2,Yes,Medium,1.1,170,5,19,938,936,1723,12,4,1,Yes,No,Yes,0
100168,1342,Yes,0.4,No,2,Yes,Low,0.2,265,1,23,719,795,1899,22,6,9,Yes,No,Yes,1
100169,1628,Yes,1.8,Yes,11,No,Medium,0.1,136,2,13,500,1713,3358,17,11,12,Yes,Yes,Yes,1
100170,900,Yes,2.5,No,11,Yes,Low,0.2,122,12,9,362,1015,2177,14,14,13,Yes,Yes,No,0
100171,1176,Yes,2.1,No,2,Yes,High,0.5,168,2,10,674,1455,1534,6,2,17,Yes,No,No,1
100172,1347,No,2.9,No,5,No,Medium,0.6,132,1,14,434,967,2484,18,2,11,Yes,No,Yes,1
100173,,No,1.0,,,Yes,,0.4,91,1,0,,1235,,9,5,10,Yes,Yes,No,0
100174,1611,No,3.4,Yes,20,Yes,Medium,0.2,118,13,25,224,794,1240,7,9,27,Yes,Yes,Yes,0
100175,849,Yes,2.5,Yes,3,Yes,Medium,0.9,136,0,8,1390,1686,3734,1,3,3,Yes,Yes,Yes,0
100176,1634,Yes,1.5,Yes,11,No,Low,1.0,107,9,5,306,833,254,15,12,1,Yes,Yes,Yes,0
100177,1128,No,1.2,Yes,2,Yes,Low,0.2,101,1,14,523,1195,1495,13,1,11,Yes,No,No,0
100178,881,No,0.5,No,4,No,Low,0.3,217,6,9,1174,1256,529,13,9,11,Yes,No,Yes,0
100179,1997,Yes,2.0,Yes,19,Yes,High,0.9,206,1,20,1785,1764,3423,1,4,20,Yes,Yes,Yes,1
100180,593,No,3.0,Yes,10,Yes,Medium,0.0,133,1,12,240,1113,3436,22,0,3,Yes,No,No,0
100181,923,No,0.6,Yes,17,No,Low,1.0,111,1,24,1628,1904,1513,16,0,17,Yes,No,No,0
100182,558,Yes,2.9,Yes,2,Yes,Medium,0.1,97,7,6,431,857,2974,15,12,19,Yes,No,Yes,0
100183,469,Yes,3.3,Yes,1,No,Medium,0.5,155,2,7,1217,1525,2390,16,14,0,Yes,No,No,0
100184,821,No,1.8,,,No,Medium,0.1,109,3,9,,1786,3185,8,4,15,Yes,No,No,0
100185,1386,No,1.3,Yes,28,Yes,Low,0.7,40,2,24,1357,1599,1107,16,11,23,Yes,Yes,Yes,0
100186,1325,Yes,0.5,No,0,Yes,Low,1.0,133,4,8,1353,1915,3707,19,3,18,Yes,Yes,No,0
100187,1001,No,2.7,Yes,19,Yes,Medium,1.0,65,10,21,743,1756,3220,18,6,26,Yes,Yes,Yes,1
100188,531,No,2.8,Yes,0,No,Medium,0.6,133,3,0,358,401,2630,24,1,12,Yes,Yes,Yes,0
100189,1885,No,2.4,Yes,12,Yes,Low,0.6,92,4,15,1406,1517,1277,9,6,16,Yes,No,Yes,0
100190,723,No,4.8,No,13,No,High,1.1,136,9,15,1134,1453,1673,11,8,5,Yes,Yes,Yes,0
100191,530,Yes,2.6,No,1,No,Medium,0.9,118,6,2,818,1090,1229,16,11,2,No,Yes,No,0
100192,575,Yes,3.1,No,0,No,Medium,0.3,228,6,2,522,540,598,17,4,19,No,Yes,Yes,0
100193,1924,Yes,1.8,No,6,No,Medium,0.6,120,2,16,1576,1839,2405,14,2,23,No,No,No,1
100194,1884,No,2.1,Yes,7,Yes,Medium,0.8,185,1,18,451,819,3619,14,8,7,Yes,Yes,Yes,1
100195,632,Yes,0.6,Yes,0,Yes,Medium,0.1,77,7,0,752,1527,3659,20,17,4,Yes,Yes,Yes,0
100196,1595,No,2.1,No,3,Yes,Medium,1.0,81,2,21,1945,1880,3738,9,1,5,Yes,Yes,Yes,0
100197,1296,No,0.8,Yes,4,Yes,High,0.2,256,1,17,667,763,1408,17,19,24,Yes,Yes,Yes,0
100198,706,Yes,2.9,Yes,5,Yes,Medium,0.7,223,0,12,1145,2080,2491,9,12,10,Yes,Yes,No,0
100199,1499,No,0.2,Yes,5,No,High,1.0,91,2,15,1277,1353,3708,14,1,16,Yes,No,Yes,1
100200,846,Yes,2.6,No,0,Yes,Medium,0.1,123,4,15,1140,1983,2248,16,8,13,Yes,No,No,0
100201,1216,Yes,1.0,No,20,Yes,Medium,0.3,154,5,25,48,1016,3342,4,7,0,Yes,Yes,Yes,0
100202,1234,Yes,2.9,Yes,1,No,Low,1.5,124,10,7,681,650,2168,20,0,5,Yes,No,No,1
100203,1555,No,2.7,Yes,3,Yes,Medium,0.7,185,5,12,323,1371,508,12,3,19,Yes,No,No,0
100204,1944,No,1.1,Yes,16,Yes,Medium,0.5,183,4,18,444,1631,3765,12,6,1,Yes,No,Yes,0
100205,1141,No,3.8,Yes,0,Yes,Medium,1.6,204,2,1,862,1372,1905,7,1,6,Yes,Yes,Yes,1
100206,825,No,2.9,Yes,0,No,Medium,0.8,99,8,17,1471,1866,2915,8,2,10,Yes,Yes,No,0
100207,1875,Yes,0.5,Yes,11,Yes,Medium,0.7,91,1,17,1802,1942,2712,7,2,6,Yes,No,Yes,1
100208,1611,No,3.1,Yes,1,Yes,Low,0.0,225,9,24,485,740,2196,2,4,19,Yes,Yes,No,0
100209,1448,No,2.1,Yes,5,No,Low,0.3,178,1,6,915,1807,1645,5,1,19,Yes,No,Yes,0
100210,1114,No,0.6,Yes,0,No,Low,0.1,128,0,13,1000,1330,213,11,0,10,Yes,No,Yes,0
100211,1533,No,0.5,Yes,0,Yes,Medium,0.4,94,9,5,487,540,954,28,14,29,Yes,Yes,Yes,0
100212,1349,No,4.4,Yes,1,No,Low,0.5,14,11,11,663,1770,1287,3,5,26,Yes,No,Yes,0
100213,682,No,1.7,No,6,Yes,Low,1.0,159,2,22,1042,1491,3803,10,5,20,Yes,No,No,0
100214,611,No,3.3,Yes,5,Yes,Low,1.0,244,1,11,842,1935,2402,12,12,0,Yes,Yes,No,0
100215,1827,Yes,0.8,No,4,No,High,0.9,130,7,9,253,1764,2693,8,3,7,No,Yes,Yes,0
100216,544,Yes,2.9,Yes,2,Yes,Medium,0.0,86,7,7,418,864,2977,16,13,20,Yes,No,Yes,0
100217,741,No,1.0,Yes,10,Yes,Medium,0.5,118,8,11,51,536,1355,20,1,12,Yes,No,No,0
100218,1663,Yes,0.5,No,0,No,Medium,0.6,147,4,15,951,1545,1336,8,5,15,Yes,No,No,0
100219,757,No,2.3,Yes,5,Yes,Medium,0.2,163,4,7,535,697,3237,19,12,9,Yes,No,Yes,0
100220,1659,Yes,2.5,No,2,No,Medium,0.1,88,7,18,787,1515,545,12,0,9,No,Yes,Yes,0
100221,,No,1.0,,,Yes,,0.5,83,8,17,,1615,,17,6,13,Yes,No,No,0
100222,1595,No,1.9,Yes,1,No,High,0.9,88,1,20,1475,1988,908,18,13,6,No,No,Yes,0
100223,481,No,0.9,Yes,11,No,Medium,1.0,136,9,24,1616,1781,2248,5,3,14,No,Yes,No,0
100224,1712,Yes,2.9,No,6,Yes,Medium,1.3,62,12,6,1405,1752,3160,5,2,0,Yes,Yes,No,1
100225,1093,No,0.8,No,11,Yes,Medium,0.1,160,8,16,1299,1359,2250,15,6,13,Yes,No,Yes,0
100226,1845,No,3.2,Yes,3,Yes,Low,1.3,103,10,5,890,1615,1382,0,6,19,Yes,Yes,No,1
100227,732,Yes,2.3,Yes,6,Yes,Low,0.1,197,3,7,1760,1845,1202,14,14,21,Yes,Yes,No,0
100228,526,Yes,2.8,No,2,Yes,Medium,0.3,217,12,20,344,1681,659,4,2,2,Yes,No,No,0
100229,1711,No,1.1,No,0,Yes,Low,0.2,90,9,7,1225,1630,1549,15,11,5,Yes,Yes,Yes,0
